State,Overall Saftey Score 2011,Overall Saftey Score 2012,Overall Saftey Score 2013,Overall Saftey Score 2014,Overall Saftey Score 2015,Average Overall Saftey Score 2011-2015
New Jersey,52,31,30,35,51,39.8
Iowa,25,41,50,42,48,41.2
Minnesota,38,41,15,66,52,42.4
Nebraska,24,75,33,44,45,44.2
Georgia,43,38,11,43,122,51.4
Michigan,43,43,37,41,96,52
Vermont,82,96,41,39,10,53.6
Arkansas,63,50,5,62,93,54.6
Idaho,56,72,28,64,54,54.8
Utah,70,38,51,77,43,55.8
Indiana,46,54,38,51,97,57.2
Kentucky,55,51,18,56,106,57.2
Alaska,67,23,117,66,17,58
Florida,52,56,21,45,126,60
Massachusetts,63,58,88,62,43,62.8
Kansas,62,55,60,72,68,63.4
Oregon,60,38,93,56,74,64.2
Rhode Island,80,101,90,59,4,66.8
California,44,52,65,61,113,67
Virginia,87,61,68,50,70,67.2
New York,54,47,81,64,92,67.6
Tennessee,61,60,47,67,110,69
Ohio,63,84,44,65,97,70.6
Connecticut,80,65,102,76,44,73.4
South Dakota,74,90,71,87,46,73.6
Maine,77,103,85,62,46,74.6
Maryland,82,87,78,63,66,75.2
Oklahoma,98,94,24,63,105,76.8
New Hampshire,77,64,137,86,25,77.8
Mississippi,60,88,69,72,101,78
Arizona,78,82,61,65,111,79.4
Washington,84,73,131,65,59,82.4
Colorado,104,64,73,95,80,83.2
Nevada,61,95,95,97,69,83.4
West Virginia,88,101,79,91,71,86
Alabama,86,73,72,99,113,88.6
Wisconsin,89,90,100,86,81,89.2
Hawaii,105,111,132,90,18,91.2
Louisiana,92,88,84,105,110,95.8
Delaware,97,96,128,122,37,96
North Carolina,109,83,75,99,127,98.6
New Mexico,115,80,108,113,80,99.2
Illinois,88,92,125,98,99,100.4
Wyoming,94,113,109,117,70,100.6
Pennsylvania,110,98,112,94,109,104.6
Missouri,111,114,116,80,112,106.6
Montana,116,140,121,108,81,113.2
North Dakota,122,132,139,138,60,118.2
Texas,120,118,127,133,141,127.8
South Carolina,118,126,141,134,133,130.4
